MERCHANT,ACCT_STATUS_K_USD,CONTRACT_DURATION_MONTH,HISTORY,CREDIT_PROGRAM,AMOUNT_K_USD,ACCOUNT_TYPE,ACCT_AGE,STATE,IS_URBAN,IS_XBORDER,SELF_REPORTED_ASMT,CO_APPLICANT,GUARANTOR,PRESENT_RESIDENT,OWN_REAL_ESTATE,PROP_UNKN,ESTABLISHED_MONTH,OTHER_INSTALL_PLAN,RENT,OWN_RESIDENCE,NUMBER_CREDITS,RFM_SCORE,BRANCHES,TELEPHONE,SHIP_INTERNATIONAL,IS_DEFAULT
141,"above 200 USD",6,"EXISTING CREDITS PAID BACK","NEW CAR",709,"above 1000 K USD","up to 1 YR","NJ","NO","NO","YES","NO","NO","2 to 3 YRS","YES","NO",27,"NO","NO","YES",1,1,1,"NO","YES","No"
142,"0 to 200 USD",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",4795,"up to 100 K USD","up to 1 YR","NY","NO","NO","NO","NO","NO","1 to 2 YRS","NO","YES",30,"NO","NO","YES",1,4,1,"YES","NO","No"
143,"0 USD",27,"EXISTING CREDITS PAID BACK","ELECTRONICS",3416,"up to 100 K USD","1 to 4 YRS","CT","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",27,"NO","NO","YES",1,4,1,"NO","NO","No"
144,"0 USD",18,"EXISTING CREDITS PAID BACK","FURNITURE",2462,"up to 100 K USD","1 to 4 YRS","NJ","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",22,"NO","NO","YES",1,3,1,"NO","NO","Yes"
145,"NONE",21,"CRITICAL ACCOUNT","FURNITURE",2288,"up to 100 K USD","up to 1 YR","NY","NO","NO","NO","NO","NO","4","NO","NO",23,"NO","NO","YES",1,3,1,"YES","NO","No"
146,"0 to 200 USD",48,"ALL CREDITS PAID BACK","RETRAINING",3566,"100 to 500 K USD","4 to 7 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",30,"NO","NO","YES",1,3,1,"NO","NO","No"
147,"0 USD",6,"CRITICAL ACCOUNT","NEW CAR",860,"up to 100 K USD","above 7 YRS","PA","NO","NO","NO","NO","NO","4","NO","YES",39,"NO","NO","YES",2,3,1,"YES","NO","No"
148,"NONE",12,"CRITICAL ACCOUNT","NEW CAR",682,"100 to 500 K USD","4 to 7 YRS","NY","NO","NO","NO","NO","NO","above 4 YRS","NO","NO",51,"NO","NO","YES",2,3,1,"YES","NO","No"
149,"0 USD",36,"CRITICAL ACCOUNT","FURNITURE",5371,"up to 100 K USD","1 to 4 YRS","CT","NO","YES","NO","NO","YES","2 to 3 YRS","NO","NO",28,"NO","NO","YES",2,3,1,"NO","NO","No"
150,"NONE",18,"CRITICAL ACCOUNT","ELECTRONICS",1582,"above 1000 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",46,"NO","NO","YES",2,3,1,"NO","NO","No"
151,"NONE",6,"EXISTING CREDITS PAID BACK","ELECTRONICS",1346,"100 to 500 K USD","above 7 YRS","NJ","NO","YES","NO","NO","NO","4","NO","YES",42,"YES","NO","NO",1,3,2,"YES","NO","No"
152,"NONE",10,"EXISTING CREDITS PAID BACK","ELECTRONICS",1924,"up to 100 K USD","1 to 4 YRS","PA","NO","YES","NO","NO","NO","4","NO","NO",38,"NO","NO","YES",1,3,1,"YES","YES","No"
153,"above 200 USD",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",5848,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","1 to 2 YRS","NO","NO",24,"NO","NO","YES",1,3,1,"NO","NO","No"
154,"0 to 200 USD",24,"CRITICAL ACCOUNT","USED CAR",7758,"above 1000 K USD","above 7 YRS","NJ","NO","NO","NO","NO","NO","4","NO","YES",29,"NO","YES","NO",1,3,1,"NO","NO","No"
155,"0 to 200 USD",24,"DELAY IN PAST","RETRAINING",6967,"100 to 500 K USD","4 to 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",36,"NO","YES","NO",1,4,1,"YES","NO","No"
156,"0 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",1282,"up to 100 K USD","1 to 4 YRS","NJ","NO","NO","NO","NO","NO","4","NO","NO",20,"NO","YES","NO",1,3,1,"NO","NO","Yes"
157,"0 USD",9,"CRITICAL ACCOUNT","OTHER",1288,"100 to 500 K USD","above 7 YRS","CT","NO","YES","NO","NO","YES","4","YES","NO",48,"NO","NO","YES",2,3,2,"NO","YES","No"
158,"0 USD",12,"ALL CREDITS PAID BACK","OTHER",339,"up to 100 K USD","above 7 YRS","NY","NO","NO","YES","NO","NO","1 to 2 YRS","NO","NO",45,"YES","NO","YES",1,2,1,"NO","NO","No"
159,"0 to 200 USD",24,"EXISTING CREDITS PAID BACK","NEW CAR",3512,"100 to 500 K USD","4 to 7 YRS","NJ","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",38,"YES","NO","YES",2,3,1,"YES","NO","No"
160,"NONE",6,"CRITICAL ACCOUNT","ELECTRONICS",1898,"UNKNOWN/NONE","1 to 4 YRS","PA","NO","YES","NO","NO","NO","2 to 3 YRS","YES","NO",34,"NO","NO","YES",2,2,2,"NO","NO","No"
161,"NONE",24,"CRITICAL ACCOUNT","ELECTRONICS",2872,"100 to 500 K USD","above 7 YRS","CT","NO","YES","NO","NO","NO","4","YES","NO",36,"NO","NO","YES",1,3,2,"YES","NO","No"
162,"NONE",18,"CRITICAL ACCOUNT","NEW CAR",1055,"up to 100 K USD","up to 1 YR","NY","NO","NO","NO","NO","NO","1 to 2 YRS","NO","NO",30,"NO","NO","YES",2,3,1,"NO","NO","No"
163,"NONE",15,"EXISTING CREDITS PAID BACK","OTHER",1262,"500 to 1000 K USD","4 to 7 YRS","NY","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",36,"NO","NO","YES",2,3,1,"YES","NO","No"
164,"0 to 200 USD",10,"EXISTING CREDITS PAID BACK","NEW CAR",7308,"up to 100 K USD","TBD","NJ","NO","YES","NO","NO","NO","4","NO","YES",70,"YES","NO","NO",1,4,1,"YES","NO","No"
165,"NONE",36,"EXISTING CREDITS PAID BACK","NEW CAR",909,"500 to 1000 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",36,"NO","NO","YES",1,3,1,"NO","NO","No"
166,"NONE",6,"EXISTING CREDITS PAID BACK","FURNITURE",2978,"500 to 1000 K USD","1 to 4 YRS","PA","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",32,"NO","NO","YES",1,3,1,"YES","NO","No"
167,"0 USD",18,"EXISTING CREDITS PAID BACK","FURNITURE",1131,"up to 100 K USD","TBD","NY","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",33,"NO","NO","YES",1,3,1,"NO","NO","Yes"
168,"0 to 200 USD",11,"EXISTING CREDITS PAID BACK","FURNITURE",1577,"above 1000 K USD","up to 1 YR","NY","NO","NO","NO","NO","NO","1 to 2 YRS","YES","NO",20,"NO","NO","YES",1,3,1,"NO","NO","No"
169,"NONE",24,"EXISTING CREDITS PAID BACK","FURNITURE",3972,"up to 100 K USD","4 to 7 YRS","NJ","NO","NO","NO","NO","NO","4","NO","NO",25,"NO","YES","NO",1,3,1,"YES","NO","No"
170,"0 to 200 USD",24,"CRITICAL ACCOUNT","RETRAINING",1935,"up to 100 K USD","above 7 YRS","NY","YES","NO","NO","NO","NO","4","YES","NO",31,"NO","NO","YES",2,3,1,"YES","NO","Yes"
171,"0 USD",15,"NONE TAKEN","NEW CAR",950,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",33,"NO","YES","NO",2,3,2,"NO","NO","Yes"
172,"NONE",12,"EXISTING CREDITS PAID BACK","FURNITURE",763,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","NO","NO","NO","1 to 2 YRS","YES","NO",26,"NO","NO","YES",1,3,1,"YES","NO","No"
173,"0 to 200 USD",24,"DELAY IN PAST","FURNITURE",2064,"up to 100 K USD","TBD","CT","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",34,"NO","NO","YES",1,4,1,"YES","NO","Yes"
174,"0 to 200 USD",8,"EXISTING CREDITS PAID BACK","ELECTRONICS",1414,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","YES","2 to 3 YRS","YES","NO",33,"NO","NO","YES",1,3,1,"NO","YES","No"
175,"0 USD",21,"DELAY IN PAST","EDUCATION",3414,"up to 100 K USD","up to 1 YR","NJ","NO","YES","NO","NO","NO","1 to 2 YRS","NO","NO",26,"NO","NO","YES",2,3,1,"NO","NO","Yes"
176,"NONE",30,"ALL CREDITS PAID BACK","USED CAR",7485,"UNKNOWN/NONE","TBD","NY","NO","NO","NO","NO","NO","1 to 2 YRS","YES","NO",53,"YES","NO","YES",1,4,1,"YES","NO","Yes"
177,"0 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",2577,"up to 100 K USD","1 to 4 YRS","NJ","YES","NO","NO","NO","NO","1 to 2 YRS","NO","NO",42,"NO","NO","YES",1,3,1,"NO","NO","No"
178,"0 USD",6,"CRITICAL ACCOUNT","ELECTRONICS",338,"500 to 1000 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",52,"NO","NO","YES",2,3,1,"NO","NO","No"
179,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",1963,"up to 100 K USD","4 to 7 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",31,"NO","YES","NO",2,4,2,"YES","NO","No"
180,"0 USD",21,"CRITICAL ACCOUNT","NEW CAR",571,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","YES","NO",65,"NO","NO","YES",2,3,1,"NO","NO","No"
181,"NONE",36,"DELAY IN PAST","RETRAINING",9572,"up to 100 K USD","up to 1 YR","PA","YES","NO","NO","NO","NO","1 to 2 YRS","NO","NO",28,"NO","NO","YES",2,3,1,"NO","NO","Yes"
182,"0 to 200 USD",36,"DELAY IN PAST","RETRAINING",4455,"up to 100 K USD","1 to 4 YRS","NJ","YES","NO","NO","NO","NO","2 to 3 YRS","YES","NO",30,"YES","NO","YES",2,4,1,"YES","NO","Yes"
183,"0 USD",21,"ALL CREDITS PAID BACK","NEW CAR",1647,"UNKNOWN/NONE","1 to 4 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",40,"NO","NO","YES",2,2,2,"NO","NO","Yes"
184,"NONE",24,"CRITICAL ACCOUNT","FURNITURE",3777,"above 1000 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","4","YES","NO",50,"NO","NO","YES",1,3,1,"YES","NO","No"
185,"0 to 200 USD",18,"CRITICAL ACCOUNT","NEW CAR",884,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",36,"YES","NO","YES",1,3,2,"YES","NO","Yes"
186,"NONE",15,"CRITICAL ACCOUNT","ELECTRONICS",1360,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",31,"NO","NO","YES",2,3,1,"NO","NO","No"
187,"0 to 200 USD",9,"ALL CREDITS PAID BACK","USED CAR",5129,"up to 100 K USD","above 7 YRS","NJ","NO","NO","NO","NO","NO","4","NO","YES",74,"YES","NO","NO",1,4,2,"YES","NO","Yes"
188,"0 to 200 USD",16,"CRITICAL ACCOUNT","NEW CAR",1175,"up to 100 K USD","TBD","NJ","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",68,"NO","NO","NO",3,1,1,"YES","NO","No"
189,"0 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",674,"100 to 500 K USD","4 to 7 YRS","NY","NO","NO","YES","NO","NO","1 to 2 YRS","NO","NO",20,"NO","NO","YES",1,3,1,"NO","NO","Yes"
190,"0 to 200 USD",18,"NONE TAKEN","FURNITURE",3244,"up to 100 K USD","1 to 4 YRS","PA","NO","NO","NO","NO","NO","4","NO","NO",33,"YES","NO","YES",2,3,1,"YES","NO","No"
191,"NONE",24,"EXISTING CREDITS PAID BACK","RETRAINING",4591,"above 1000 K USD","1 to 4 YRS","NJ","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",54,"NO","NO","YES",3,4,1,"YES","NO","Yes"
192,"0 to 200 USD",48,"NONE TAKEN","RETRAINING",3844,"100 to 500 K USD","4 to 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","YES",34,"NO","NO","NO",1,2,2,"NO","NO","Yes"
193,"0 to 200 USD",27,"EXISTING CREDITS PAID BACK","RETRAINING",3915,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",36,"NO","NO","YES",1,3,2,"YES","NO","Yes"
194,"NONE",6,"EXISTING CREDITS PAID BACK","ELECTRONICS",2108,"up to 100 K USD","4 to 7 YRS","NJ","NO","NO","YES","NO","NO","2 to 3 YRS","YES","NO",29,"NO","YES","NO",1,3,1,"NO","NO","No"
195,"0 to 200 USD",45,"EXISTING CREDITS PAID BACK","ELECTRONICS",3031,"100 to 500 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","YES","4","NO","NO",21,"NO","YES","NO",1,3,1,"NO","NO","Yes"
196,"0 to 200 USD",9,"CRITICAL ACCOUNT","EDUCATION",1501,"up to 100 K USD","above 7 YRS","NJ","NO","NO","NO","NO","NO","above 4 YRS","NO","NO",34,"NO","NO","YES",2,4,1,"YES","NO","Yes"
197,"NONE",6,"CRITICAL ACCOUNT","ELECTRONICS",1382,"up to 100 K USD","1 to 4 YRS","PA","NO","NO","NO","NO","NO","1 to 2 YRS","NO","NO",28,"NO","NO","YES",2,3,1,"YES","NO","No"
198,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",951,"100 to 500 K USD","up to 1 YR","NY","NO","NO","NO","NO","NO","4","NO","NO",27,"YES","YES","NO",4,3,1,"NO","NO","Yes"
199,"0 to 200 USD",24,"EXISTING CREDITS PAID BACK","USED CAR",2760,"UNKNOWN/NONE","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","YES",36,"YES","NO","NO",1,3,1,"YES","NO","No"
200,"0 to 200 USD",18,"DELAY IN PAST","FURNITURE",4297,"up to 100 K USD","above 7 YRS","NY","YES","NO","NO","NO","NO","above 4 YRS","NO","YES",40,"NO","NO","YES",1,4,1,"YES","NO","Yes"
201,"NONE",9,"CRITICAL ACCOUNT","EDUCATION",936,"500 to 1000 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",52,"NO","NO","YES",2,3,1,"YES","NO","No"
202,"0 USD",12,"EXISTING CREDITS PAID BACK","NEW CAR",1168,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","YES","NO","NO","above 4 YRS","YES","NO",27,"NO","NO","YES",1,2,1,"NO","NO","No"
203,"NONE",27,"DELAY IN PAST","RETRAINING",5117,"up to 100 K USD","4 to 7 YRS","CT","NO","YES","NO","NO","NO","4","NO","NO",26,"NO","NO","YES",2,3,1,"NO","NO","No"
204,"0 USD",12,"EXISTING CREDITS PAID BACK","OTHER",902,"up to 100 K USD","4 to 7 YRS","NY","NO","NO","YES","NO","NO","4","NO","NO",21,"NO","YES","NO",1,3,1,"NO","NO","Yes"
205,"NONE",12,"CRITICAL ACCOUNT","NEW CAR",1495,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","1 to 2 YRS","YES","NO",38,"NO","NO","YES",2,2,2,"NO","NO","No"
206,"0 USD",30,"CRITICAL ACCOUNT","USED CAR",10623,"up to 100 K USD","above 7 YRS","CT","NO","YES","NO","NO","NO","4","NO","YES",38,"NO","NO","NO",3,4,2,"YES","NO","No"
207,"NONE",12,"CRITICAL ACCOUNT","FURNITURE",1935,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","YES","NO",43,"NO","NO","YES",3,3,1,"YES","NO","No"
208,"0 to 200 USD",12,"CRITICAL ACCOUNT","OTHER",1424,"up to 100 K USD","4 to 7 YRS","NY","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",26,"NO","NO","YES",1,3,1,"NO","NO","No"
209,"0 USD",24,"EXISTING CREDITS PAID BACK","RETRAINING",6568,"up to 100 K USD","1 to 4 YRS","NJ","NO","NO","YES","NO","NO","2 to 3 YRS","NO","NO",21,"YES","NO","YES",1,2,1,"NO","NO","No"
210,"NONE",12,"EXISTING CREDITS PAID BACK","USED CAR",1413,"above 1000 K USD","4 to 7 YRS","CT","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",55,"NO","NO","YES",1,3,1,"NO","YES","No"
211,"NONE",9,"CRITICAL ACCOUNT","ELECTRONICS",3074,"UNKNOWN/NONE","1 to 4 YRS","PA","NO","YES","NO","NO","NO","2 to 3 YRS","YES","NO",33,"NO","NO","YES",2,3,2,"NO","NO","No"
212,"NONE",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",3835,"UNKNOWN/NONE","above 7 YRS","NJ","NO","NO","NO","NO","NO","4","YES","NO",45,"NO","NO","YES",1,2,1,"YES","NO","No"
213,"0 USD",27,"NONE TAKEN","RETRAINING",5293,"up to 100 K USD","TBD","NJ","NO","YES","NO","NO","NO","4","NO","NO",50,"YES","NO","YES",2,3,1,"YES","NO","Yes"
214,"above 200 USD",30,"DELAY IN PAST","RETRAINING",1908,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","YES","NO",66,"NO","NO","YES",1,4,1,"YES","NO","Yes"
215,"NONE",36,"CRITICAL ACCOUNT","ELECTRONICS",3342,"UNKNOWN/NONE","above 7 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",51,"NO","NO","YES",1,3,1,"YES","NO","No"
216,"0 to 200 USD",6,"CRITICAL ACCOUNT","OTHER",932,"UNKNOWN/NONE","4 to 7 YRS","PA","NO","NO","NO","NO","NO","above 4 YRS","NO","NO",39,"NO","NO","YES",2,2,1,"NO","NO","No"
217,"0 USD",18,"NONE TAKEN","RETRAINING",3104,"up to 100 K USD","4 to 7 YRS","CT","NO","YES","NO","NO","NO","1 to 2 YRS","NO","NO",31,"YES","NO","YES",1,3,1,"YES","NO","No"
218,"above 200 USD",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",3913,"up to 100 K USD","1 to 4 YRS","NJ","NO","YES","NO","NO","NO","2 to 3 YRS","YES","NO",23,"NO","NO","YES",1,3,1,"YES","NO","No"
219,"0 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",3021,"up to 100 K USD","1 to 4 YRS","NJ","YES","NO","NO","NO","NO","2 to 3 YRS","YES","NO",24,"NO","YES","NO",1,2,1,"NO","NO","No"
220,"NONE",10,"EXISTING CREDITS PAID BACK","NEW CAR",1364,"up to 100 K USD","1 to 4 YRS","NJ","NO","NO","NO","NO","NO","4","NO","NO",64,"NO","NO","YES",1,3,1,"YES","NO","No"
221,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",625,"up to 100 K USD","up to 1 YR","NY","NO","NO","YES","NO","YES","1 to 2 YRS","YES","NO",26,"YES","NO","YES",1,2,1,"NO","NO","No"
222,"0 USD",12,"EXISTING CREDITS PAID BACK","EDUCATION",1200,"UNKNOWN/NONE","1 to 4 YRS","NY","NO","NO","NO","NO","NO","4","NO","NO",23,"YES","YES","NO",1,3,1,"YES","NO","No"
223,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",707,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","YES","NO",30,"YES","NO","YES",2,3,1,"NO","NO","No"
224,"NONE",24,"DELAY IN PAST","RETRAINING",2978,"UNKNOWN/NONE","1 to 4 YRS","NY","NO","YES","NO","NO","NO","4","YES","NO",32,"NO","NO","YES",2,3,2,"YES","NO","No"
225,"NONE",15,"EXISTING CREDITS PAID BACK","USED CAR",4657,"up to 100 K USD","1 to 4 YRS","CT","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",30,"NO","NO","YES",1,3,1,"YES","NO","No"
226,"NONE",36,"NONE TAKEN","OTHER",2613,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",27,"NO","NO","YES",2,3,1,"NO","NO","No"
227,"0 to 200 USD",48,"EXISTING CREDITS PAID BACK","ELECTRONICS",10961,"above 1000 K USD","4 to 7 YRS","PA","NO","YES","NO","YES","NO","2 to 3 YRS","NO","YES",27,"YES","NO","YES",2,3,1,"YES","NO","Yes"
228,"0 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",7865,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","YES",53,"NO","NO","NO",1,4,1,"YES","NO","Yes"
229,"NONE",9,"EXISTING CREDITS PAID BACK","ELECTRONICS",1478,"up to 100 K USD","4 to 7 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",22,"NO","NO","YES",1,3,1,"NO","NO","Yes"
230,"0 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",3149,"up to 100 K USD","up to 1 YR","NY","NO","YES","NO","NO","NO","1 to 2 YRS","NO","YES",22,"YES","NO","NO",1,3,1,"NO","NO","No"
231,"above 200 USD",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",4210,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",26,"NO","NO","YES",1,3,1,"NO","NO","Yes"
232,"NONE",9,"EXISTING CREDITS PAID BACK","NEW CAR",2507,"500 to 1000 K USD","above 7 YRS","NJ","NO","YES","NO","NO","NO","4","NO","YES",51,"NO","NO","NO",1,2,1,"NO","NO","No"
233,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",2141,"100 to 500 K USD","4 to 7 YRS","CT","NO","YES","NO","NO","NO","1 to 2 YRS","NO","YES",35,"NO","NO","YES",1,3,1,"NO","NO","No"
234,"0 to 200 USD",18,"EXISTING CREDITS PAID BACK","ELECTRONICS",866,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","YES","NO","YES","2 to 3 YRS","YES","NO",25,"NO","NO","YES",1,2,1,"NO","NO","No"
235,"NONE",4,"CRITICAL ACCOUNT","ELECTRONICS",1544,"up to 100 K USD","4 to 7 YRS","NJ","NO","YES","NO","NO","NO","1 to 2 YRS","YES","NO",42,"NO","NO","YES",3,2,2,"NO","NO","No"
236,"0 USD",24,"EXISTING CREDITS PAID BACK","ELECTRONICS",1823,"up to 100 K USD","TBD","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",30,"YES","NO","YES",1,4,2,"NO","NO","Yes"
237,"0 to 200 USD",6,"EXISTING CREDITS PAID BACK","NEW CAR",14555,"UNKNOWN/NONE","TBD","PA","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",23,"NO","NO","YES",1,1,1,"YES","NO","Yes"
238,"0 to 200 USD",21,"EXISTING CREDITS PAID BACK","RETRAINING",2767,"100 to 500 K USD","above 7 YRS","NY","YES","NO","NO","NO","NO","2 to 3 YRS","NO","NO",61,"YES","YES","NO",2,2,1,"NO","NO","Yes"
239,"NONE",12,"CRITICAL ACCOUNT","ELECTRONICS",1291,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",35,"NO","NO","YES",2,3,1,"NO","NO","No"
240,"0 USD",30,"EXISTING CREDITS PAID BACK","ELECTRONICS",2522,"up to 100 K USD","above 7 YRS","PA","NO","YES","NO","NO","YES","above 4 YRS","NO","NO",39,"NO","NO","YES",1,3,2,"NO","NO","No"
241,"0 USD",24,"EXISTING CREDITS PAID BACK","NEW CAR",915,"UNKNOWN/NONE","above 7 YRS","NY","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",29,"YES","NO","YES",1,3,1,"NO","NO","Yes"
242,"NONE",6,"EXISTING CREDITS PAID BACK","ELECTRONICS",1595,"up to 100 K USD","4 to 7 YRS","CT","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",51,"NO","NO","YES",1,3,2,"NO","NO","No"
243,"0 USD",48,"NONE TAKEN","USED CAR",4605,"up to 100 K USD","above 7 YRS","CT","NO","YES","NO","NO","NO","4","NO","YES",24,"NO","NO","NO",2,3,2,"NO","NO","Yes"
244,"NONE",12,"CRITICAL ACCOUNT","RETRAINING",1185,"up to 100 K USD","1 to 4 YRS","CT","NO","NO","NO","NO","NO","2 to 3 YRS","YES","NO",27,"NO","NO","YES",2,3,1,"NO","NO","No"
245,"NONE",12,"ALL CREDITS PAID BACK","OTHER",3447,"500 to 1000 K USD","1 to 4 YRS","NY","NO","NO","NO","NO","NO","above 4 YRS","YES","NO",35,"NO","NO","YES",1,2,2,"NO","NO","No"
246,"NONE",24,"EXISTING CREDITS PAID BACK","RETRAINING",1258,"up to 100 K USD","4 to 7 YRS","NY","NO","YES","NO","NO","NO","1 to 2 YRS","YES","NO",25,"NO","NO","YES",1,3,1,"YES","NO","No"
247,"NONE",12,"CRITICAL ACCOUNT","ELECTRONICS",717,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","YES","NO",52,"NO","NO","YES",3,3,1,"NO","NO","No"
248,"NONE",6,"NONE TAKEN","NEW CAR",1204,"100 to 500 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","1 to 2 YRS","NO","YES",35,"YES","YES","NO",1,3,1,"NO","YES","No"
249,"above 200 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",1925,"up to 100 K USD","1 to 4 YRS","NJ","NO","YES","NO","NO","NO","2 to 3 YRS","YES","NO",26,"NO","NO","YES",1,3,1,"NO","NO","No"
250,"NONE",18,"EXISTING CREDITS PAID BACK","ELECTRONICS",433,"up to 100 K USD","TBD","CT","NO","NO","NO","YES","NO","4","YES","NO",22,"NO","YES","NO",1,3,1,"NO","NO","Yes"
251,"0 USD",6,"CRITICAL ACCOUNT","NEW CAR",666,"above 1000 K USD","4 to 7 YRS","CT","NO","NO","NO","NO","NO","4","YES","NO",39,"NO","NO","YES",2,2,1,"YES","NO","No"
252,"above 200 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",2251,"up to 100 K USD","1 to 4 YRS","PA","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",46,"NO","NO","YES",1,2,1,"NO","NO","No"
253,"0 to 200 USD",30,"EXISTING CREDITS PAID BACK","NEW CAR",2150,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","NO","NO","YES","2 to 3 YRS","NO","YES",24,"YES","NO","YES",1,3,1,"NO","NO","Yes"
254,"NONE",24,"DELAY IN PAST","FURNITURE",4151,"100 to 500 K USD","1 to 4 YRS","NJ","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",35,"NO","NO","YES",2,3,1,"NO","NO","No"
255,"0 to 200 USD",9,"EXISTING CREDITS PAID BACK","FURNITURE",2030,"UNKNOWN/NONE","4 to 7 YRS","NJ","NO","YES","NO","NO","NO","1 to 2 YRS","NO","NO",24,"NO","NO","YES",1,3,1,"YES","NO","No"
256,"0 to 200 USD",60,"DELAY IN PAST","ELECTRONICS",7418,"UNKNOWN/NONE","1 to 4 YRS","PA","NO","YES","NO","NO","NO","1 to 2 YRS","YES","NO",27,"NO","NO","YES",1,2,1,"NO","NO","No"
257,"NONE",24,"CRITICAL ACCOUNT","ELECTRONICS",2684,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","YES","NO",35,"NO","NO","YES",2,2,1,"NO","NO","No"
